schoolcode,zip,districtcode,districtname,schoolname,cohortstudents,graduates_count,graduates_rate,college_going_rate,completers,enrolled_in_college
1996610,90031,64733,Los Angeles Unified,Los Angeles Leadership Academy,65,52,80.0,,,
6016885,90201,64733,Los Angeles Unified,Elizabeth Learning Center,206,189,91.7,53.8,160.0,86.0
6019475,90007,64733,Los Angeles Unified,Thirty-Second Street USC Performing Arts,75,74,98.7,69.1,68.0,47.0
6019715,91340,64733,Los Angeles Unified,Vaughn Next Century Learning Center,146,142,97.3,,,
6058002,91405,64733,Los Angeles Unified,Robert Fulton College Preparatory,168,161,95.8,38.7,168.0,65.0
6060461,91605,64733,Los Angeles Unified,Charles Leroy Lowman Special Education and Career Transition Center,18,0,0.0,,,
6060529,90008,64733,Los Angeles Unified,Marlton,11,7,63.6,,,
6061451,90018,64733,Los Angeles Unified,Foshay Learning Center,171,171,100.0,59.2,152.0,90.0
6061600,91352,64733,Los Angeles Unified,Sun Valley Magnet,83,82,98.8,41.3,63.0,26.0
6069157,91602,64733,Los Angeles Unified,Berenece Carlson Home Hospital,75,2,2.7,,,
6116750,91342,64733,Los Angeles Unified,PUC Community Charter Middle and PUC Community Charter Early College High,102,99,97.1,,,
109538,90262,64774,Lynwood Unified,Marco Antonio Firebaugh High,351,331,94.3,56.3,325.0,183.0
114777,90262,64774,Lynwood Unified,Pathway Independent Study,111,96,86.5,15.6,96.0,15.0
1935428,90262,64774,Lynwood Unified,Vista High,156,123,78.8,21.2,118.0,25.0
1935436,90262,64774,Lynwood Unified,Lynwood High,403,370,91.8,59.1,445.0,263.0
1935899,91016,64790,Monrovia Unified,Canyon Oaks High,58,53,91.4,23.3,30.0,7.0
1935923,91016,64790,Monrovia Unified,Monrovia High,344,337,98.0,76.1,376.0,286.0
1996404,91016,64790,Monrovia Unified,Mountain Park,14,12,85.7,,,
124552,90640,64808,Montebello Unified,Applied Technology Center,121,120,99.2,63.8,105.0,67.0
1930155,90640,64808,Montebello Unified,Schurr High,678,627,92.5,56.1,608.0,341.0
1930825,90201,64808,Montebello Unified,Bell Gardens High,558,477,85.5,53.4,586.0,313.0
1935998,90640,64808,Montebello Unified,Montebello High,605,508,84.0,51.3,606.0,311.0
1933647,90650,64840,Norwalk-La Mirada Unified,John H. Glenn High,262,247,94.3,37.6,271.0,102.0
1934728,90638,64840,Norwalk-La Mirada Unified,La Mirada High,459,444,96.7,65.7,405.0,266.0
1936467,90650,64840,Norwalk-La Mirada Unified,Norwalk High,475,451,94.9,38.9,468.0,182.0
112714,93550,64857,Palmdale Elementary,Antelope Valley Learning Academy,392,66,16.8,,,
125377,93550,64857,Palmdale Elementary,Palmdale Aerospace Academy,194,191,98.5,,,
1995588,90274,64865,Palos Verdes Peninsula Unified,Palos Verdes Peninsula High,504,499,99.0,82.2,583.0,479.0
1996552,90274,64865,Palos Verdes Peninsula Unified,Palos Verdes High,406,400,98.5,84.5,459.0,388.0
